City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
228,Grand Gaube,MU,2020-04-28 02:48:50,-20.01,57.66,71.01,78,10,4.0
229,Ondjiva,AO,2020-04-28 02:54:23,-17.07,15.73,62.85,42,5,4.63
230,Vung Tau,VN,2020-04-28 02:54:21,10.35,107.08,87.53,59,38,11.97
231,Maungaturoto,NZ,2020-04-28 02:54:23,-36.1,174.37,66.99,68,100,13.0
232,Auki,SB,2020-04-28 02:49:38,-8.77,160.7,83.48,77,38,4.45
233,Vannes,FR,2020-04-28 02:54:23,47.83,-2.5,54.0,100,38,3.36
234,Mount Isa,AU,2020-04-28 02:49:11,-20.73,139.5,86.0,27,0,8.05
235,Fortuna,US,2020-04-28 02:54:24,40.6,-124.16,61.0,93,20,10.29
236,Cascais,PT,2020-04-28 02:51:05,38.7,-9.42,54.0,87,20,5.82
237,Riberalta,BO,2020-04-28 02:54:24,-10.98,-66.1,74.32,93,100,1.68
238,Deori Khas,IN,2020-04-28 02:54:24,23.4,79.02,89.06,26,0,10.09
239,Nueve De Julio,AR,2020-04-28 02:54:24,-35.44,-60.88,64.99,99,99,4.0
240,Kohtla-Jarve,EE,2020-04-28 02:54:25,59.4,27.27,33.08,85,98,5.66
241,Bengkulu,ID,2020-04-28 02:44:46,-3.8,102.27,85.46,61,69,1.07
242,Muros,ES,2020-04-28 02:47:32,42.78,-9.06,54.0,82,45,1.99
243,Nelson Bay,AU,2020-04-28 02:53:59,-32.72,152.15,73.99,64,75,11.41
244,Upernavik,GL,2020-04-28 02:48:04,72.79,-56.15,28.42,98,100,13.89
245,Mar Del Plata,AR,2020-04-28 02:47:10,-38.0,-57.56,62.6,93,90,18.34
246,Nouadhibou,MR,2020-04-28 02:54:26,20.93,-17.03,64.4,77,0,13.87
247,Shanhetun,CN,2020-04-28 02:54:26,44.7,127.2,47.43,67,98,7.05
248,Slave Lake,CA,2020-04-28 02:54:26,55.28,-114.77,41.0,75,20,4.7
249,Mabaruma,GY,2020-04-28 02:54:27,8.2,-59.78,74.35,91,77,2.95
250,Tasiilaq,GL,2020-04-28 02:47:54,65.61,-37.64,35.04,92,100,14.79
251,Arraial Do Cabo,BR,2020-04-28 02:47:46,-22.97,-42.03,73.56,70,0,3.76
252,Toledo,ES,2020-04-28 02:49:09,39.83,-4.0,48.99,93,0,4.7
253,Fenoarivo,MG,2020-04-28 02:54:27,-18.93,47.44,62.6,88,75,8.05
254,Yulara,AU,2020-04-28 02:49:41,-25.24,130.99,84.2,28,67,13.87
255,Wanning,CN,2020-04-28 02:54:28,18.8,110.4,79.25,64,16,8.5
256,Kaitangata,NZ,2020-04-28 02:48:12,-46.28,169.85,58.08,55,14,7.47
257,San Quintin,MX,2020-04-28 02:48:13,30.48,-115.95,64.35,80,0,9.8
258,Plast,RU,2020-04-28 02:54:28,54.37,60.81,48.78,76,18,4.09
259,Eyl,SO,2020-04-28 02:54:28,7.98,49.82,83.37,77,12,6.22
260,Bichura,RU,2020-04-28 02:54:29,50.59,107.6,61.16,40,100,5.19
261,Urumqi,CN,2020-04-28 02:54:29,43.8,87.6,80.6,11,2,8.95
262,Enshi,CN,2020-04-28 02:54:29,30.3,109.48,77.29,46,0,2.39
263,Aksarka,RU,2020-04-28 02:54:29,66.56,67.8,28.27,97,100,2.8
264,Brandfort,ZA,2020-04-28 02:54:04,-28.7,26.46,51.8,93,100,2.24
265,San Policarpo,PH,2020-04-28 02:54:30,12.18,125.51,83.62,71,100,11.52
266,Hailey,US,2020-04-28 02:54:30,43.52,-114.32,57.2,30,40,11.41
267,Sulangan,PH,2020-04-28 02:54:30,11.14,123.72,82.99,77,100,14.09
268,Creel,MX,2020-04-28 02:54:30,27.75,-107.63,56.25,22,95,6.08
269,Warrnambool,AU,2020-04-28 02:54:30,-38.38,142.48,61.0,68,98,17.38
270,Tabou,CI,2020-04-28 02:54:31,4.42,-7.35,77.61,87,15,2.68
271,Pringsewu,ID,2020-04-28 02:54:31,-5.36,104.97,83.07,74,42,5.5
272,Kruisfontein,ZA,2020-04-28 02:48:23,-34.0,24.73,55.85,83,100,4.21
273,Ascope,PE,2020-04-28 02:54:31,-7.71,-79.11,70.02,68,100,3.8
274,Batsfjord,NO,2020-04-28 02:54:31,70.63,29.72,26.6,73,75,10.29
275,Port Hawkesbury,CA,2020-04-28 02:54:31,45.62,-61.35,36.0,92,90,17.22
276,Bratsk,RU,2020-04-28 02:54:32,56.13,101.61,60.8,19,0,4.47
277,Ancud,CL,2020-04-28 02:48:44,-41.87,-73.82,55.99,100,90,9.17
278,Chara,RU,2020-04-28 02:54:32,56.91,118.26,50.07,35,0,7.87
279,Panorama,GR,2020-04-28 02:54:32,40.59,23.03,60.01,76,20,3.36
280,Lorengau,PG,2020-04-28 02:47:47,-2.02,147.27,86.34,69,80,8.86
281,Batemans Bay,AU,2020-04-28 02:48:45,-35.72,150.18,75.0,62,1,1.99
282,Kamina,CD,2020-04-28 02:54:33,-8.74,24.99,64.04,68,100,2.86
283,Olavarria,AR,2020-04-28 02:54:33,-36.89,-60.32,60.01,99,100,1.01
284,Dunedin,NZ,2020-04-28 02:52:44,-45.87,170.5,63.0,48,1,10.0
285,Rio Grande,BR,2020-04-28 02:44:39,-32.03,-52.1,69.01,85,100,7.0
286,Sioux Lookout,CA,2020-04-28 02:48:31,50.1,-91.92,48.2,76,75,4.7
287,Standerton,ZA,2020-04-28 02:54:34,-26.93,29.24,49.41,58,100,6.13
288,Kindu,CD,2020-04-28 02:47:40,-2.95,25.95,69.98,86,96,1.41
289,Pisco,PE,2020-04-28 02:50:18,-13.7,-76.22,69.01,72,42,14.99
290,Bonavista,CA,2020-04-28 02:48:06,48.65,-53.11,32.0,86,0,1.99
291,Champasak,LA,2020-04-28 02:54:34,14.75,106.0,84.2,54,98,2.24
292,Porto Franco,BR,2020-04-28 02:54:35,-6.34,-47.4,73.53,88,0,2.21
293,Bulgan,MN,2020-04-28 02:54:35,48.81,103.53,59.18,33,29,5.86
294,Hasaki,JP,2020-04-28 02:47:58,35.73,140.83,68.0,67,75,3.36
295,Saint-Joseph,RE,2020-04-28 02:48:07,-21.37,55.62,69.8,77,20,9.17
296,Sao Filipe,CV,2020-04-28 02:48:19,14.9,-24.5,73.56,77,100,8.72
297,Clyde River,CA,2020-04-28 02:47:52,70.47,-68.59,3.2,77,90,8.05
298,Iquique,CL,2020-04-28 02:54:36,-20.22,-70.14,66.2,68,90,3.36
299,Russell,US,2020-04-28 02:54:36,32.35,-85.2,60.8,82,1,2.53
300,The Valley,AI,2020-04-28 02:54:36,18.22,-63.06,80.6,69,40,10.29
301,Mindelo,CV,2020-04-28 02:54:37,16.89,-24.98,71.6,73,40,18.34
302,Severomuysk,RU,2020-04-28 02:54:37,56.15,113.43,38.73,34,100,2.39
303,Gao,ML,2020-04-28 02:54:37,16.64,1.64,85.3,14,0,8.55
304,Moa,CU,2020-04-28 02:54:37,20.66,-74.94,77.58,86,100,8.55
